AnnotationID	PointID	X (um)	Y (um)
0	0	16048.109965635738	16995.8401157533
0	1	16048.5621269669	16995.8401157533
0	2	16054.440224272019	16995.8401157533
0	3	16054.892385603183	16995.387954422138
0	4	16055.796708265509	16995.387954422138
0	5	16056.248869596671	16994.483631759813
0	6	16061.674805570627	16989.057695785854
0	7	16068.909386869234	16989.057695785854
0	8	16069.81370953156	16988.60553445469
0	9	16082.926388135285	16988.60553445469
0	10	16083.830710797612	16988.15337312353
0	11	16089.70880810273	16982.27527581841
0	12	16090.160969433893	16981.823114487248
0	13	16090.613130765056	16981.823114487248
0	14	16096.491228070176	16981.823114487248
0	15	16096.943389401338	16981.370953156085
0	16	16097.847712063663	16981.370953156085
0	17	16098.299873394826	16980.46663049376
0	18	16103.725809368781	16975.040694519805
0	19	16104.177970699944	16975.040694519805
0	20	16104.630132031109	16974.588533188642
0	21	16118.194971965997	16974.588533188642
0	22	16119.099294628322	16973.684210526317
0	23	16134.87548607343	16958.26127012118
0	24	16134.924941219026	16958.310725266776
0	25	16134.924941219026	16959.2150479291
0	26	16135.829263881353	16959.667209260264
0	27	16136.733586543678	16960.57153192259
0	28	16146.2289744981	16960.57153192259
0	29	16147.133297160426	16960.119370591427
0	30	16176.975945017182	16930.27672273467
0	31	16179.236751672996	16932.537529390487
0	32	16188.732139627418	16932.537529390487
0	33	16189.636462289744	16932.085368059325
0	34	16195.966720926026	16925.75510942304
0	35	16207.2707542051	16925.75510942304
0	36	16213.601012841382	16932.085368059325
0	37	16214.505335503707	16932.537529390487
0	38	16241.635015373484	16932.537529390487
0	39	16242.539338035811	16932.537529390487
0	40	16242.991499366974	16932.98969072165
0	41	16244.347983360462	16932.98969072165
0	42	16244.800144691626	16932.537529390487
0	43	16245.704467353951	16932.537529390487
0	44	16272.834147223728	16932.537529390487
0	45	16273.738469886055	16932.085368059325
0	46	16280.068728522336	16925.75510942304
0	47	16286.398987158618	16925.75510942304
0	48	16286.85114848978	16925.302948091878
0	49	16287.755471152106	16925.302948091878
0	50	16288.207632483269	16924.398625429552
0	51	16294.085729788389	16918.520528124434
0	52	16326.189184300958	16918.520528124434
0	53	16332.519442937239	16924.398625429552
0	54	16332.971604268403	16925.302948091878
0	55	16333.423765599566	16925.302948091878
0	56	16333.875926930728	16925.75510942304
0	57	16342.466992222824	16925.75510942304
0	58	16342.919153553987	16925.302948091878
0	59	16343.823476216314	16925.302948091878
0	60	16344.275637547476	16924.398625429552
0	61	16349.701573521432	16918.972689455597
0	62	16350.153734852594	16918.520528124434
0	63	16350.605896183757	16918.520528124434
0	64	16389.49177066377	16918.520528124434
0	65	16395.36986796889	16924.398625429552
0	66	16395.822029300052	16925.302948091878
0	67	16396.72635196238	16925.302948091878
0	68	16397.178513293544	16925.75510942304
0	69	16440.586001085187	16925.75510942304
0	70	16441.03816241635	16925.302948091878
0	71	16441.942485078675	16925.302948091878
0	72	16442.394646409837	16924.398625429552
0	73	16447.820582383792	16918.972689455597
0	74	16448.272743714955	16918.520528124434
0	75	16448.72490504612	16918.520528124434
0	76	16455.055163682402	16918.520528124434
0	77	16455.959486344727	16918.06836679327
0	78	16483.541327545667	16890.486525592332
0	79	16490.323747513114	16890.486525592332
0	80	16491.22807017544	16889.582202930003
0	81	16497.55832881172	16883.704105624885
0	82	16503.888587448	16883.704105624885
0	83	16504.340748779163	16883.251944293723
0	84	16504.792910110325	16883.251944293723
0	85	16505.245071441488	16882.347621631397
0	86	16511.575330077772	16876.46952432628
0	87	16581.208175076867	16876.46952432628
0	88	16582.112497739192	16876.017362995117
0	89	16588.442756375473	16869.687104358836
0	90	16601.5554349792	16869.687104358836
0	91	16609.24217760897	16869.687104358836
0	92	16616.024597576416	16869.687104358836
0	93	16616.47675890758	16869.23494302767
0	94	16616.92892023874	16869.23494302767
0	95	16617.381081569903	16868.330620365345
0	96	16623.223853771025	16862.90468439139
0	97	16636.82401880991	16862.90468439139
0	98	16637.276180141074	16862.452523060227
0	99	16638.1805028034	16862.452523060227
0	100	16644.51076143968	16862.452523060227
0	101	16645.415084102005	16861.5482003979
0	102	16651.74534273829	16855.670103092783
0	103	16665.310182673176	16855.670103092783
0	104	16665.76234400434	16855.670103092783
0	105	16672.092602640623	16855.670103092783
0	106	16672.544763971786	16855.21794176162
0	107	16672.99692530295	16855.21794176162
0	108	16673.44908663411	16854.313619099295
0	109	16679.291858835233	16848.88768312534
0	110	16686.109603906672	16848.88768312534
0	111	16686.561765237835	16848.435521794174
0	112	16687.013926568998	16848.435521794174
0	113	16687.46608790016	16848.435521794174
0	114	16693.344185205282	16848.435521794174
0	115	16694.248507867607	16847.98336046301
0	116	16700.578766503888	16841.65310182673
0	117	16707.36118647133	16841.65310182673
0	118	16715.047929101103	16841.65310182673
0	119	16720.92602640622	16841.65310182673
0	120	16721.378187737384	16841.200940495568
0	121	16722.28251039971	16841.200940495568
0	122	16722.734671730872	16840.296617833243
0	123	16728.160607704827	16834.870681859287
0	124	16728.61276903599	16834.418520528125
0	125	16729.064930367153	16834.418520528125
0	126	16734.038705009945	16834.418520528125
0	127	16736.299511665762	16834.418520528125
0	128	16736.751672996925	16834.418520528125
0	129	16742.629770302043	16834.418520528125
0	130	16743.534092964368	16833.5141978658
0	131	16749.86435160065	16827.636100560678
0	132	16757.09893289926	16827.636100560678
0	133	16762.524868873214	16827.636100560678
0	134	16767.95080484717	16833.062036534633
0	135	16768.40296617833	16833.966359196962
0	136	16769.307288840657	16833.966359196962
0	137	16769.75945017182	16834.418520528125
0	138	16778.350515463917	16834.418520528125
0	139	16778.80267679508	16833.966359196962
0	140	16779.254838126242	16833.966359196962
0	141	16779.706999457405	16833.062036534633
0	142	16786.037258093686	16827.183939229515
0	143	16796.436968710434	16827.183939229515
0	144	16797.341291372762	16827.183939229515
0	145	16797.793452703925	16827.636100560678
0	146	16806.38451799602	16827.636100560678
0	147	16806.83667932718	16827.183939229515
0	148	16807.288840658348	16827.183939229515
0	149	16813.61909929463	16827.183939229515
0	150	16814.523421956954	16826.731777898352
0	151	16820.853680593234	16820.40151926207
0	152	16834.418520528125	16820.40151926207
0	153	16834.870681859287	16820.40151926207
0	154	16835.32284319045	16819.94935793091
0	155	16835.775004521613	16819.497196599747
0	156	16842.105263157893	16813.61909929463
0	157	16848.435521794174	16813.61909929463
0	158	16848.88768312534	16813.166937963466
0	159	16849.339844456503	16813.166937963466
0	160	16849.792005787665	16812.262615301137
0	161	16856.122264423946	16806.38451799602
0	162	16869.23494302767	16806.38451799602
0	163	16869.687104358836	16806.38451799602
0	164	16870.59142702116	16805.932356664856
0	165	16876.921685657442	16799.602098028576
0	166	16882.347621631397	16799.602098028576
0	167	16883.251944293723	16799.602098028576
0	168	16883.704105624885	16799.149936697413
0	169	16884.60842828721	16799.149936697413
0	170	16885.060589618373	16798.245614035088
0	171	16890.938686923495	16792.36751672997
0	172	16896.816784228613	16792.36751672997
0	173	16904.50352685838	16792.36751672997
0	174	16904.955688189544	16792.36751672997
0	175	16905.407849520707	16791.915355398807
0	176	16905.86001085187	16791.46319406764
0	177	16911.019242290648	16786.674876220834
0	178	16915.355398806292	16791.01103273648
0	179	16915.807560137455	16791.915355398807
0	180	16916.711882799784	16791.915355398807
0	181	16917.164044130946	16792.36751672997
0	182	16924.398625429552	16792.36751672997
0	183	16939.772110689093	16792.36751672997
0	184	16940.224272020256	16791.915355398807
0	185	16940.67643335142	16791.915355398807
0	186	16941.12859468258	16791.915355398807
0	187	16941.580756013744	16791.01103273648
0	188	16947.45885331886	16785.13293543136
0	189	16961.023693253752	16785.13293543136
0	190	16961.475854584914	16785.13293543136
0	191	16961.928015916077	16784.680774100198
0	192	16962.38017724724	16784.228612769035
0	193	16968.710435883524	16778.350515463917
0	194	16975.040694519805	16778.350515463917
0	195	16988.60553445469	16778.350515463917
0	196	16989.057695785854	16778.350515463917
0	197	16989.50985711702	16777.898354132754
0	198	16989.962018448183	16777.898354132754
0	199	16990.414179779345	16776.99403147043
0	200	16996.744438415626	16771.11593416531
0	201	17002.622535720744	16771.11593416531
